工作站順序,工單1,工單2,工單3,工單4,工單5,工單6
75,7,1,48,128,20,26
84,3,4,41,45,39,38
20,12,27,7,21,27,23
22,12,29,15,25,27,22
25,12,8,19,7,28,20
0,123,176,16,19,47,47
32,36,34,31,40,108,103
34,36,26,44,36,125,106
65,3,4,48,43,40,35
66,3,1,46,42,21,36
67,3,3,43,40,35,31
75,2,7,42,48,20,22
80,2,8,43,50,22,38
7,65,90,182,119,2,4
8,65,76,181,99,3,7
9,65,86,132,112,3,3
10,65,91,182,157,1,1
70,2,5,43,50,22,21
71,2,7,48,42,21,21
72,2,2,44,48,33,26
73,2,8,46,47,28,39
31,59,37,36,49,135,115
36,59,40,28,20,113,114
40,59,40,45,29,133,135
74,1,6,47,42,39,26
76,1,4,40,47,22,29
77,1,7,44,50,34,28
78,1,8,49,48,30,20
79,1,1,48,47,32,22
85,1,7,47,42,27,35
60,1,6,41,41,21,38
61,1,6,41,45,25,35
62,1,7,44,46,31,25
63,1,1,46,41,30,21
64,1,3,43,40,31,20
65,7,2,41,43,35,34
66,7,1,44,40,26,34
67,7,9,50,42,34,37
74,6,7,49,44,32,33
76,6,5,47,45,23,38
77,7,1,46,41,37,24
78,7,3,47,42,37,32
79,7,7,50,40,32,22
85,3,5,43,44,37,29
60,4,7,48,46,39,20
61,4,9,45,44,24,38
62,4,7,43,40,25,26
63,4,7,42,45,21,27
64,4,2,45,44,22,23
89,10,11,9,8,17,15
92,10,13,1,1,16,14
89,10,13,1,5,27,29
92,10,10,9,3,13,20
60,2,4,50,50,28,29
61,2,5,46,49,33,28
62,2,3,41,40,37,21
63,2,8,49,47,39,35
64,2,4,46,42,37,27
59,18,9,50,44,125,133
69,11,6,40,46,26,22
74,3,9,47,49,40,30
76,3,9,47,42,22,33
77,4,9,42,48,36,34
78,4,9,42,47,32,40
79,4,4,49,49,37,27
85,2,6,50,49,36,30
70,1,9,47,43,28,32
71,1,2,42,40,38,26
72,1,2,44,42,23,24
73,1,7,43,49,28,21
89,17,10,3,1,13,24
92,17,11,9,2,10,10
31,47,39,31,31,106,123
36,47,31,28,50,109,125
40,47,27,36,23,110,114
88,10,13,8,4,24,28
90,11,13,1,4,24,15
91,10,10,5,3,17,13
93,10,10,7,1,25,25
20,61,20,16,24,23,23
22,61,22,16,23,22,20
25,61,12,25,5,30,28
91,12,10,5,3,22,24
93,12,12,8,7,16,18
70,5,1,42,50,29,33
71,3,9,50,47,26,32
72,3,4,41,46,24,33
73,2,5,42,50,34,39
31,84,35,41,23,102,126
36,84,32,36,22,124,108
40,84,12,45,23,111,121
75,15,6,42,44,29,28
84,8,3,43,46,39,28
20,26,11,16,23,22,22
22,26,23,16,22,23,26
25,26,10,29,6,30,20
0,123,154,13,13,43,48
32,36,9,34,27,126,124
34,36,18,31,21,114,108
55,10,38,44,42,102,135
65,8,4,40,44,38,30
66,8,7,44,43,21,23
67,8,7,40,43,31,32
83,3,6,43,47,34,22
84,3,7,50,43,38,34
86,3,5,42,49,24,36
87,7,8,42,48,37,35
7,65,63,159,190,8,9
8,65,75,93,93,5,4
9,65,63,198,189,8,8
10,65,70,113,178,6,4
70,5,3,49,40,27,37
71,5,2,42,40,23,31
72,5,7,50,40,20,24
73,5,7,42,45,31,21
55,11,3,31,49,132,116
65,8,9,49,44,36,31
66,8,9,42,45,22,21
67,8,6,43,41,26,27
75,8,1,48,40,22,33
80,7,9,42,43,29,35
83,3,1,48,49,21,39
84,3,7,44,44,29,20
86,3,7,46,47,24,22
87,7,1,48,50,22,23
19,8,14,27,28,28,25
52,14,40,37,48,124,125
53,8,13,38,36,125,100
17,34,24,16,20,24,27
0,123,172,17,20,39,47
32,36,30,27,44,114,115
34,36,20,50,46,101,127
65,1,3,45,44,22,31
66,1,9,43,50,26,33
67,1,1,40,44,27,30
75,1,3,50,41,31,35
80,1,6,40,41,30,39
33,35,11,27,22,105,131
37,35,35,42,46,121,119
39,35,15,41,45,126,111
46,58,16,32,27,127,120
81,1,4,42,46,36,39
65,1,4,42,44,23,26
66,1,9,48,46,37,28
67,1,2,47,40,28,24
75,1,8,47,42,30,40
80,1,1,45,40,31,21
33,35,40,30,30,125,127
37,35,22,30,32,125,111
39,35,4,30,41,110,132
46,58,21,27,29,122,115
81,1,6,50,43,32,32
81,9,4,47,41,26,23
82,9,9,44,48,20,34
83,5,7,49,47,34,27
84,5,8,48,45,23,30
55,11,31,35,41,109,111
65,8,7,50,40,33,36
66,8,8,48,44,21,22
67,8,9,42,46,37,24
75,8,9,48,41,40,33
80,7,9,42,46,34,31
83,3,7,50,40,38,27
84,3,6,40,47,40,29
86,3,6,44,40,26,26
87,7,3,41,49,34,37
17,22,19,20,23,20,25
18,11,28,29,7,21,24
21,10,17,20,10,28,25
83,3,2,46,50,37,34
84,3,1,45,42,37,35
17,34,22,26,19,25,20
0,123,160,19,19,48,40
32,36,22,22,45,107,101
34,36,14,49,49,131,120
83,3,6,49,50,21,25
84,3,3,45,42,22,26
86,3,8,46,50,37,35
87,7,7,46,46,21,40
91,17,10,5,9,13,29
93,17,13,6,1,23,15
91,17,10,8,6,16,17
93,17,13,2,8,13,24
88,12,10,5,7,30,22
90,12,10,2,3,13,14
91,12,10,8,6,26,21
93,12,12,7,3,23,14
55,11,17,32,27,104,101
65,8,8,48,43,35,25
66,8,5,50,47,33,26
67,8,8,49,48,35,23
75,8,6,46,49,38,26
80,7,5,50,44,40,27
83,3,3,49,45,35,38
84,3,7,50,42,29,28
86,3,5,49,44,30,26
87,7,7,45,41,32,31
52,13,16,26,42,103,134
53,8,35,40,45,114,127
55,11,25,40,42,109,123
65,8,5,45,41,21,26
66,8,1,42,49,34,20
67,8,4,44,41,23,34
75,8,5,48,47,39,24
80,7,7,45,46,26,33
83,3,8,40,50,34,33
84,3,4,46,41,29,33
86,3,9,40,46,28,23
87,7,8,44,42,35,29
4,176,156,12,16,46,31
14,210,80,129,138,5,2
11,71,74,165,198,3,8
13,73,74,94,95,4,5
75,5,7,49,47,27,29
80,5,7,48,47,34,34
65,1,5,45,49,26,25
66,1,6,42,46,35,24
67,1,6,43,41,38,28
75,1,4,48,41,22,32
80,1,6,48,50,30,20
33,35,28,28,45,131,104
37,35,33,35,38,104,100
39,35,7,26,43,121,103
46,58,2,49,50,115,109
81,1,8,43,43,39,25
