工作站順序,工單1,工單2,工單3,工單4,工單5,工單6
20,8,6,72,73,117,166
22,5,7,72,73,126,122
25,27,25,54,50,93,67
0,145,146,8,8,74,88
32,38,40,29,13,21,45
34,40,39,24,19,57,17
7,36,36,40,38,19,11
8,12,21,37,38,6,30
9,28,12,36,39,17,23
10,39,41,35,40,12,7
31,40,40,22,39,30,52
36,38,35,28,39,54,15
40,60,58,2,11,36,18
60,4,5,55,59,42,30
60,7,5,60,56,33,55
60,2,6,60,55,57,57
59,12,1,58,56,31,59
31,38,37,33,35,50,42
36,39,39,10,36,22,24
40,58,55,5,5,10,16
20,7,9,73,73,171,134
22,6,7,72,72,125,173
25,19,22,62,53,133,131
31,37,35,28,32,52,46
36,40,36,34,24,22,22
40,57,58,14,4,21,21
20,5,5,73,72,113,128
22,8,8,72,73,122,163
25,26,27,55,64,64,64
0,145,144,6,5,74,71
32,37,36,14,28,26,29
34,37,37,36,38,19,15
55,6,13,57,58,38,32
7,34,29,37,39,19,39
8,15,25,35,35,34,30
9,35,16,39,36,11,39
10,38,38,37,39,15,14
55,14,4,56,57,39,41
19,10,8,72,72,102,134
52,2,15,60,57,39,47
53,8,8,58,58,41,41
17,7,10,72,72,130,172
0,145,146,8,8,44,36
32,38,40,32,25,36,32
34,39,37,24,38,57,40
33,40,36,16,40,27,50
37,36,40,25,22,28,17
39,40,36,11,20,49,10
46,58,59,6,9,28,25
33,39,37,33,19,19,29
37,39,36,21,13,34,26
39,36,38,28,28,11,22
46,57,58,8,2,13,27
55,8,15,58,55,32,36
17,5,9,72,73,127,169
18,7,7,72,73,116,144
21,9,10,72,72,146,128
17,10,7,73,72,145,156
0,146,145,3,3,79,49
32,35,38,25,14,46,28
34,37,35,17,38,35,38
55,4,10,59,57,39,52
52,1,10,56,59,38,46
53,3,7,55,57,49,41
55,5,8,58,60,33,38
4,128,130,21,12,22,23
14,6,5,144,146,14,14
11,36,39,36,40,5,9
13,6,7,144,146,14,14
33,36,39,14,35,40,36
37,37,39,24,13,52,33
39,37,39,33,30,41,29
46,56,57,7,14,18,12
33,37,35,14,27,58,59
37,37,39,23,36,54,12
39,36,36,35,14,13,49
29,54,58,13,14,30,4
35,39,36,32,32,10,50
44,55,58,2,13,34,33
7,32,21,38,38,20,13
8,38,36,40,38,7,36
9,20,36,40,35,38,19
10,35,35,39,40,10,15
17,6,8,73,73,157,121
0,146,144,5,8,53,32
32,38,39,14,36,55,40
34,40,39,19,39,18,35
17,9,6,73,73,153,132
18,9,7,73,72,125,141
20,9,9,72,72,133,158
22,5,8,72,72,146,100
25,15,26,62,52,61,52
0,146,144,3,9,60,33
32,39,35,23,34,58,18
34,39,39,21,27,25,59
0,144,144,7,3,41,59
32,37,40,14,10,53,13
34,38,39,27,36,54,11
55,1,5,56,60,34,58
7,37,35,35,37,19,21
8,14,29,39,38,24,18
9,18,22,36,39,29,14
10,36,36,41,36,14,7
0,145,145,6,3,71,32
32,35,37,15,24,22,60
34,38,36,15,16,34,50
55,14,11,59,60,44,46
7,15,10,37,37,26,15
8,28,10,35,40,32,37
9,36,20,40,36,19,35
10,41,35,37,36,7,17
7,40,35,37,39,8,4
8,27,19,37,35,17,16
9,24,33,37,36,10,17
10,37,36,37,35,9,10
11,37,38,38,37,16,19
13,5,5,145,144,14,14
11,39,40,39,38,13,19
13,9,4,145,146,14,14
32,37,38,13,31,23,13
34,35,38,18,26,33,42
33,40,39,36,29,34,23
37,38,38,12,37,14,46
39,38,35,39,11,52,17
46,56,55,2,6,37,40
33,37,40,36,12,20,46
37,38,39,33,30,43,32
39,38,35,19,32,31,20
46,56,58,2,10,28,11
55,2,11,56,57,43,36
52,15,2,56,57,30,51
54,15,15,55,57,55,30
33,37,36,31,24,23,11
37,35,36,38,17,22,23
39,38,38,21,40,20,34
46,56,57,7,12,22,37
55,12,8,55,58,52,33
19,9,7,73,73,133,158
52,6,7,55,56,47,45
53,2,1,56,57,42,31
55,12,13,57,57,34,45
33,39,36,16,29,13,38
37,36,40,30,13,23,17
39,35,39,34,13,32,60
29,55,56,18,22,22,26
35,36,36,29,32,45,54
44,55,60,11,10,33,21
17,8,6,72,73,100,143
20,5,7,72,73,102,115
22,10,6,72,73,160,133
0,145,146,9,7,36,53
32,39,40,30,19,35,50
34,39,39,14,38,60,45
18,9,8,73,72,148,122
21,10,10,73,72,172,131
16,6,5,144,144,14,14
23,7,7,73,73,101,108
16,7,5,144,145,14,14
23,10,8,73,72,120,166
55,11,12,60,58,33,54
17,6,6,73,73,157,151
18,6,6,73,72,122,117
21,6,7,72,72,143,149
33,38,37,33,25,11,36
37,39,40,10,22,42,34
39,37,39,38,11,40,29
46,57,59,14,10,28,37
24,15,23,58,51,157,105
51,10,15,55,57,32,44
24,30,20,58,53,121,56
55,12,11,56,59,44,47
52,15,14,57,57,36,31
54,13,8,55,55,48,50
59,11,5,60,59,55,50
33,39,37,30,26,24,48
37,37,38,20,18,46,17
39,39,38,38,27,24,56
46,59,56,12,11,38,35
7,10,40,38,35,37,23
8,30,31,35,38,25,26
9,10,38,36,36,29,23
10,40,41,40,35,17,13
7,33,32,36,40,23,5
8,34,31,39,40,15,31
9,22,36,36,35,19,14
10,37,37,37,41,7,9
46,55,60,15,13,37,32
28,53,59,16,14,10,7
30,55,52,16,29,8,26
42,56,55,6,2,10,31
11,41,41,39,35,16,16
13,5,4,144,145,14,14
60,12,12,55,58,45,57
11,39,40,39,37,11,11
13,9,5,145,146,14,14
31,40,39,25,18,55,27
36,40,39,35,19,49,47
40,58,57,14,9,31,34
60,11,8,60,60,49,57
55,6,15,55,56,46,53
52,13,5,56,57,49,49
54,12,1,60,58,38,56
28,64,53,16,14,30,12
30,63,61,17,27,9,6
42,56,55,14,8,28,26
18,10,5,73,73,137,152
20,10,5,72,72,100,167
21,10,6,72,72,169,161
22,6,8,73,72,109,168
25,22,24,53,64,133,104
60,9,15,56,58,57,48
46,56,58,6,9,26,33
52,6,7,55,57,35,37
7,37,24,35,40,21,30
8,12,31,40,40,21,24
9,37,37,36,38,20,5
10,37,41,37,38,11,18
18,5,8,73,72,152,115
20,9,6,72,73,138,118
21,9,8,72,73,147,139
22,7,9,73,73,107,142
25,21,19,60,55,85,165
48,12,7,58,57,51,43
24,20,30,55,50,58,139
24,26,17,61,50,58,111
14,4,6,146,146,14,14
20,9,8,72,72,171,135
22,5,7,72,72,109,121
25,20,14,55,52,114,54
56,14,11,59,59,43,33
18,6,8,73,72,100,125
20,6,8,73,72,168,122
21,8,5,72,72,141,172
22,8,9,73,73,150,171
25,26,16,56,59,151,132
56,4,1,55,57,41,41
18,5,10,73,73,102,160
20,8,10,72,73,142,154
21,8,7,72,73,156,161
22,7,7,72,72,171,169
25,30,23,65,64,132,145
33,37,39,36,35,51,58
37,39,35,31,23,26,19
39,35,39,39,24,59,13
29,63,52,23,21,20,22
35,38,38,19,27,34,52
44,58,60,8,14,36,26
7,40,17,39,40,3,32
8,14,24,40,38,13,13
9,27,40,40,36,25,22
10,35,35,36,38,5,6
7,25,12,38,35,8,17
8,26,21,35,36,21,20
9,13,15,35,38,24,39
10,36,36,40,35,17,8
29,64,58,20,15,19,17
35,37,37,33,14,17,37
44,57,59,8,8,34,26
20,10,8,72,73,135,130
22,10,6,73,73,166,172
25,30,22,65,57,54,153
0,146,146,8,5,48,45
32,35,40,23,28,32,44
34,35,36,25,22,49,32
2,150,143,17,23,20,22
5,16,17,36,35,17,40
6,27,33,40,38,4,7
12,8,7,146,145,14,14
56,8,10,55,57,60,41
52,2,13,59,56,47,34
53,13,14,57,57,45,36
18,8,9,72,72,115,117
21,6,10,72,72,125,104
7,14,22,38,40,20,29
8,14,29,40,37,27,16
9,10,25,36,40,18,21
10,39,40,36,41,19,11
29,64,59,18,20,21,16
35,35,39,26,14,33,29
44,59,59,9,15,34,30
7,27,39,36,35,19,9
8,15,27,35,37,22,29
9,31,34,37,35,17,15
10,36,37,36,38,10,17
18,8,7,72,73,163,152
20,9,9,73,73,172,118
21,8,9,73,72,130,128
22,7,8,73,72,109,152
25,29,19,53,59,102,51
18,9,8,72,73,146,109
20,6,7,73,72,164,119
21,8,5,72,72,101,138
22,7,9,73,73,153,166
25,25,16,65,60,68,90
2,136,163,15,16,22,21
5,35,35,37,39,9,24
6,33,38,35,35,25,10
12,7,7,146,145,14,14
11,39,41,36,36,6,9
13,8,5,144,146,14,14
0,145,144,6,8,74,64
32,38,40,23,28,57,49
34,40,35,15,27,34,40
55,12,2,58,60,51,37
